,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
255724,2008,1,29,2,1050.0,1040,1628.0,1614,UA,1620,N451UA,218.0,214.0,177.0,14.0,10.0,LAX,MSY,1671,4.0,37.0,0,N,0,,,,,
255725,2008,1,30,3,1055.0,1040,1606.0,1614,UA,1620,N476UA,191.0,214.0,173.0,-8.0,15.0,LAX,MSY,1671,3.0,15.0,0,N,0,,,,,
255726,2008,1,31,4,1117.0,1040,1653.0,1614,UA,1620,N489UA,216.0,214.0,200.0,39.0,37.0,LAX,MSY,1671,5.0,11.0,0,N,0,37.0,0.0,2.0,0.0,0.0
255727,2008,1,1,2,1903.0,1820,41.0,2357,UA,1621,N452UA,218.0,217.0,193.0,44.0,43.0,LAX,MSY,1671,6.0,19.0,0,N,0,9.0,0.0,1.0,0.0,34.0
255730,2008,1,4,5,1937.0,1820,104.0,2357,UA,1621,N484UA,207.0,217.0,183.0,67.0,77.0,LAX,MSY,1671,2.0,22.0,0,N,0,9.0,0.0,0.0,0.0,58.0
255731,2008,1,5,6,2237.0,1820,404.0,2357,UA,1621,N484UA,207.0,217.0,184.0,247.0,257.0,LAX,MSY,1671,4.0,19.0,0,N,0,42.0,0.0,0.0,0.0,205.0
255732,2008,1,6,7,1941.0,1820,108.0,2357,UA,1621,N498UA,207.0,217.0,183.0,71.0,81.0,LAX,MSY,1671,4.0,20.0,0,N,0,33.0,0.0,0.0,0.0,38.0
255733,2008,1,1,2,752.0,730,1001.0,943,UA,1622,N442UA,249.0,253.0,233.0,18.0,22.0,MSY,LAX,1671,6.0,10.0,0,N,0,18.0,0.0,0.0,0.0,0.0
255735,2008,1,3,4,751.0,730,1013.0,943,UA,1622,N452UA,262.0,253.0,242.0,30.0,21.0,MSY,LAX,1671,9.0,11.0,0,N,0,21.0,0.0,9.0,0.0,0.0
255737,2008,1,5,6,740.0,730,1022.0,943,UA,1622,N480UA,282.0,253.0,254.0,39.0,10.0,MSY,LAX,1671,8.0,20.0,0,N,0,10.0,0.0,29.0,0.0,0.0
255738,2008,1,6,7,740.0,730,941.0,943,UA,1622,N452UA,241.0,253.0,224.0,-2.0,10.0,MSY,LAX,1671,8.0,9.0,0,N,0,,,,,
255739,2008,1,1,2,1735.0,1705,1932.0,1918,UA,1623,N448UA,237.0,253.0,216.0,14.0,30.0,MSY,LAX,1671,11.0,10.0,0,N,0,,,,,
255740,2008,1,2,3,1714.0,1705,1928.0,1918,UA,1623,N451UA,254.0,253.0,229.0,10.0,9.0,MSY,LAX,1671,9.0,16.0,0,N,0,,,,,
255741,2008,1,3,4,1848.0,1705,2105.0,1918,UA,1623,N458UA,257.0,253.0,236.0,107.0,103.0,MSY,LAX,1671,8.0,13.0,0,N,0,101.0,0.0,4.0,0.0,2.0
255742,2008,1,4,5,1721.0,1705,2005.0,1918,UA,1623,N446UA,284.0,253.0,256.0,47.0,16.0,MSY,LAX,1671,16.0,12.0,0,N,0,16.0,0.0,31.0,0.0,0.0
255743,2008,1,6,7,1738.0,1705,1959.0,1918,UA,1623,N452UA,261.0,253.0,239.0,41.0,33.0,MSY,LAX,1671,12.0,10.0,0,N,0,25.0,0.0,8.0,0.0,8.0
255744,2008,1,7,1,1703.0,1655,1935.0,1914,UA,1623,N459UA,272.0,259.0,254.0,21.0,8.0,MSY,LAX,1671,5.0,13.0,0,N,0,8.0,0.0,13.0,0.0,0.0
255750,2008,1,14,1,1844.0,1655,2040.0,1914,UA,1623,N456UA,236.0,259.0,224.0,86.0,109.0,MSY,LAX,1671,5.0,7.0,0,N,0,0.0,0.0,0.0,0.0,86.0
255753,2008,1,17,4,1705.0,1655,1906.0,1914,UA,1623,N493UA,241.0,259.0,223.0,-8.0,10.0,MSY,LAX,1671,5.0,13.0,0,N,0,,,,,
255755,2008,1,20,7,1711.0,1655,1917.0,1914,UA,1623,N493UA,246.0,259.0,228.0,3.0,16.0,MSY,LAX,1671,11.0,7.0,0,N,0,,,,,
255758,2008,1,23,3,1706.0,1655,2011.0,1914,UA,1623,N498UA,305.0,259.0,275.0,57.0,11.0,MSY,LAX,1671,11.0,19.0,0,N,0,0.0,0.0,51.0,0.0,6.0
255761,2008,1,27,7,1733.0,1655,2008.0,1914,UA,1623,N496UA,275.0,259.0,249.0,54.0,38.0,MSY,LAX,1671,6.0,20.0,0,N,0,7.0,0.0,16.0,0.0,31.0
255762,2008,1,28,1,1918.0,1655,2148.0,1914,UA,1623,N416UA,270.0,259.0,243.0,154.0,143.0,MSY,LAX,1671,15.0,12.0,0,N,0,0.0,0.0,14.0,0.0,140.0
255763,2008,1,29,2,1701.0,1655,1926.0,1914,UA,1623,N451UA,265.0,259.0,242.0,12.0,6.0,MSY,LAX,1671,7.0,16.0,0,N,0,,,,,
255765,2008,1,31,4,1752.0,1655,2005.0,1914,UA,1623,N489UA,253.0,259.0,235.0,51.0,57.0,MSY,LAX,1671,8.0,10.0,0,N,0,0.0,21.0,0.0,0.0,30.0
255769,2008,1,10,4,940.0,803,1206.0,1035,UA,1625,N473UA,266.0,272.0,245.0,91.0,97.0,MIA,DEN,1709,7.0,14.0,0,N,0,91.0,0.0,0.0,0.0,0.0
255770,2008,1,11,5,812.0,803,1052.0,1035,UA,1625,N478UA,280.0,272.0,239.0,17.0,9.0,MIA,DEN,1709,24.0,17.0,0,N,0,9.0,0.0,8.0,0.0,0.0
255774,2008,1,15,2,832.0,803,1054.0,1035,UA,1625,N460UA,262.0,272.0,233.0,19.0,29.0,MIA,DEN,1709,8.0,21.0,0,N,0,19.0,0.0,0.0,0.0,0.0
255776,2008,1,17,4,839.0,803,1049.0,1035,UA,1625,N477UA,250.0,272.0,233.0,14.0,36.0,MIA,DEN,1709,5.0,12.0,0,N,0,,,,,
255778,2008,1,19,6,828.0,803,1128.0,1035,UA,1625,N465UA,300.0,272.0,237.0,53.0,25.0,MIA,DEN,1709,50.0,13.0,0,N,0,25.0,0.0,28.0,0.0,0.0
255795,2008,1,5,6,1121.0,1100,1411.0,1346,UA,1626,N452UA,110.0,106.0,79.0,25.0,21.0,LAS,DEN,629,9.0,22.0,0,N,0,0.0,0.0,9.0,0.0,16.0
255796,2008,1,6,7,1111.0,1100,1403.0,1353,UA,1626,N460UA,112.0,113.0,80.0,10.0,11.0,LAS,DEN,629,5.0,27.0,0,N,0,,,,,
255799,2008,1,9,3,1245.0,1132,1540.0,1427,UA,1626,N414UA,115.0,115.0,84.0,73.0,73.0,LAS,DEN,629,8.0,23.0,0,N,0,14.0,0.0,0.0,0.0,59.0
255808,2008,1,18,5,1340.0,1132,1636.0,1427,UA,1626,N457UA,116.0,115.0,85.0,129.0,128.0,LAS,DEN,629,5.0,26.0,0,N,0,14.0,0.0,1.0,0.0,114.0
255810,2008,1,20,7,1230.0,1132,1524.0,1427,UA,1626,N488UA,114.0,115.0,80.0,57.0,58.0,LAS,DEN,629,5.0,29.0,0,N,0,0.0,0.0,0.0,0.0,57.0
255811,2008,1,21,1,1141.0,1132,1423.0,1427,UA,1626,N476UA,102.0,115.0,79.0,-4.0,9.0,LAS,DEN,629,5.0,18.0,0,N,0,,,,,
255812,2008,1,22,2,1214.0,1132,1456.0,1427,UA,1626,N474UA,102.0,115.0,79.0,29.0,42.0,LAS,DEN,629,4.0,19.0,0,N,0,0.0,0.0,0.0,0.0,29.0
255813,2008,1,23,3,1235.0,1132,1524.0,1427,UA,1626,N484UA,109.0,115.0,85.0,57.0,63.0,LAS,DEN,629,6.0,18.0,0,N,0,52.0,0.0,0.0,0.0,5.0
255817,2008,1,27,7,1203.0,1132,1451.0,1427,UA,1626,N494UA,108.0,115.0,78.0,24.0,31.0,LAS,DEN,629,6.0,24.0,0,N,0,16.0,0.0,0.0,0.0,8.0
255818,2008,1,28,1,1222.0,1132,1543.0,1427,UA,1626,N488UA,141.0,115.0,88.0,76.0,50.0,LAS,DEN,629,12.0,41.0,0,N,0,50.0,0.0,26.0,0.0,0.0
255819,2008,1,29,2,1143.0,1132,1438.0,1427,UA,1626,N459UA,115.0,115.0,81.0,11.0,11.0,LAS,DEN,629,9.0,25.0,0,N,0,,,,,
255820,2008,1,30,3,1157.0,1132,1441.0,1427,UA,1626,N487UA,104.0,115.0,80.0,14.0,25.0,LAS,DEN,629,5.0,19.0,0,N,0,,,,,
255821,2008,1,31,4,1140.0,1132,1425.0,1427,UA,1626,N474UA,105.0,115.0,81.0,-2.0,8.0,LAS,DEN,629,6.0,18.0,0,N,0,,,,,
255822,2008,1,31,4,2128.0,2015,29.0,2307,UA,1627,N440UA,241.0,232.0,192.0,82.0,73.0,ORD,PHX,1440,2.0,47.0,0,N,0,0.0,6.0,9.0,0.0,67.0
255823,2008,1,1,2,1706.0,1700,2008.0,1952,UA,1628,N473UA,122.0,112.0,90.0,16.0,6.0,LAS,DEN,629,14.0,18.0,0,N,0,6.0,0.0,10.0,0.0,0.0
255826,2008,1,4,5,1706.0,1700,2016.0,1952,UA,1628,N407UA,130.0,112.0,93.0,24.0,6.0,LAS,DEN,629,6.0,31.0,0,N,0,6.0,0.0,18.0,0.0,0.0
255830,2008,1,9,3,1837.0,1705,2129.0,2000,UA,1628,N414UA,112.0,115.0,90.0,89.0,92.0,LAS,DEN,629,11.0,11.0,0,N,0,0.0,0.0,0.0,0.0,89.0
255831,2008,1,10,4,1817.0,1705,2055.0,2000,UA,1628,N445UA,98.0,115.0,79.0,55.0,72.0,LAS,DEN,629,6.0,13.0,0,N,0,55.0,0.0,0.0,0.0,0.0
255836,2008,1,15,2,1711.0,1705,2001.0,2000,UA,1628,N446UA,110.0,115.0,82.0,1.0,6.0,LAS,DEN,629,6.0,22.0,0,N,0,,,,,
255837,2008,1,16,3,1807.0,1705,2049.0,2000,UA,1628,N440UA,102.0,115.0,86.0,49.0,62.0,LAS,DEN,629,5.0,11.0,0,N,0,0.0,0.0,0.0,0.0,49.0
255839,2008,1,18,5,1928.0,1705,2216.0,2000,UA,1628,N457UA,108.0,115.0,91.0,136.0,143.0,LAS,DEN,629,6.0,11.0,0,N,0,16.0,0.0,0.0,0.0,120.0
255840,2008,1,19,6,1426.0,1355,1720.0,1650,UA,1628,N487UA,114.0,115.0,85.0,30.0,31.0,LAS,DEN,629,6.0,23.0,0,N,0,0.0,0.0,0.0,0.0,30.0
255842,2008,1,21,1,1719.0,1705,1957.0,2000,UA,1628,N476UA,98.0,115.0,81.0,-3.0,14.0,LAS,DEN,629,4.0,13.0,0,N,0,,,,,
255847,2008,1,26,6,1410.0,1355,1645.0,1650,UA,1628,N441UA,95.0,115.0,79.0,-5.0,15.0,LAS,DEN,629,5.0,11.0,0,N,0,,,,,
255848,2008,1,27,7,1954.0,1705,2235.0,2000,UA,1628,N490UA,101.0,115.0,76.0,155.0,169.0,LAS,DEN,629,7.0,18.0,0,N,0,6.0,0.0,0.0,0.0,149.0
255849,2008,1,28,1,1805.0,1705,2048.0,2000,UA,1628,N488UA,103.0,115.0,78.0,48.0,60.0,LAS,DEN,629,5.0,20.0,0,N,0,0.0,0.0,0.0,0.0,48.0
255852,2008,1,31,4,1731.0,1705,2028.0,2000,UA,1628,N474UA,117.0,115.0,85.0,28.0,26.0,LAS,DEN,629,6.0,26.0,0,N,0,26.0,0.0,2.0,0.0,0.0
255853,2008,1,7,1,1532.0,1525,1623.0,1618,UA,1629,N447UA,111.0,113.0,93.0,5.0,7.0,DEN,LAS,629,7.0,11.0,0,N,0,,,,,
255855,2008,1,9,3,1712.0,1525,1802.0,1618,UA,1629,N414UA,110.0,113.0,87.0,104.0,107.0,DEN,LAS,629,7.0,16.0,0,N,0,0.0,54.0,0.0,0.0,50.0
255858,2008,1,12,6,1407.0,1340,1446.0,1433,UA,1629,N454UA,99.0,113.0,84.0,13.0,27.0,DEN,LAS,629,3.0,12.0,0,N,0,,,,,
255862,2008,1,16,3,1654.0,1525,1741.0,1618,UA,1629,N440UA,107.0,113.0,86.0,83.0,89.0,DEN,LAS,629,7.0,14.0,0,N,0,24.0,0.0,0.0,0.0,59.0
255864,2008,1,18,5,1742.0,1525,1835.0,1618,UA,1629,N457UA,113.0,113.0,84.0,137.0,137.0,DEN,LAS,629,5.0,24.0,0,N,0,30.0,0.0,0.0,0.0,107.0
255865,2008,1,19,6,1550.0,1340,1629.0,1433,UA,1629,N494UA,99.0,113.0,85.0,116.0,130.0,DEN,LAS,629,6.0,8.0,0,N,0,55.0,0.0,0.0,0.0,61.0
255867,2008,1,21,1,1532.0,1525,1631.0,1618,UA,1629,N476UA,119.0,113.0,97.0,13.0,7.0,DEN,LAS,629,7.0,15.0,0,N,0,,,,,
255873,2008,1,27,7,1609.0,1455,1908.0,1548,UA,1629,N452UA,239.0,113.0,110.0,200.0,74.0,DEN,LAS,629,7.0,122.0,0,N,0,0.0,0.0,200.0,0.0,0.0
255874,2008,1,28,1,1624.0,1525,1734.0,1618,UA,1629,N488UA,130.0,113.0,105.0,76.0,59.0,DEN,LAS,629,6.0,19.0,0,N,0,0.0,0.0,22.0,0.0,54.0
255878,2008,1,9,3,835.0,815,1344.0,1349,UA,1630,N821UA,189.0,214.0,175.0,-5.0,20.0,LAS,ORD,1515,2.0,12.0,0,N,0,,,,,
255889,2008,1,20,7,1136.0,815,1700.0,1349,UA,1630,N474UA,204.0,214.0,177.0,191.0,201.0,LAS,ORD,1515,6.0,21.0,0,N,0,12.0,0.0,0.0,0.0,179.0
255891,2008,1,22,2,823.0,815,1357.0,1349,UA,1630,N447UA,214.0,214.0,183.0,8.0,8.0,LAS,ORD,1515,5.0,26.0,0,N,0,,,,,
255895,2008,1,26,6,743.0,729,1324.0,1303,UA,1630,N494UA,221.0,214.0,189.0,21.0,14.0,LAS,ORD,1515,13.0,19.0,0,N,0,14.0,0.0,7.0,0.0,0.0
255897,2008,1,28,1,859.0,815,1441.0,1349,UA,1630,N491UA,222.0,214.0,177.0,52.0,44.0,LAS,ORD,1515,6.0,39.0,0,N,0,44.0,0.0,8.0,0.0,0.0
255901,2008,1,7,1,1204.0,1020,1724.0,1541,UA,1632,N484UA,200.0,201.0,184.0,103.0,104.0,DEN,MCO,1545,3.0,13.0,0,N,0,103.0,0.0,0.0,0.0,0.0
255906,2008,1,12,6,1043.0,1020,1604.0,1541,UA,1632,N453UA,201.0,201.0,177.0,23.0,23.0,DEN,MCO,1545,3.0,21.0,0,N,0,23.0,0.0,0.0,0.0,0.0
255907,2008,1,13,7,1248.0,1020,1803.0,1541,UA,1632,N476UA,195.0,201.0,175.0,142.0,148.0,DEN,MCO,1545,5.0,15.0,0,N,0,142.0,0.0,0.0,0.0,0.0
255913,2008,1,19,6,1259.0,1020,1823.0,1541,UA,1632,N458UA,204.0,201.0,177.0,162.0,159.0,DEN,MCO,1545,4.0,23.0,0,N,0,100.0,0.0,3.0,0.0,59.0
255919,2008,1,25,5,1027.0,1020,1546.0,1541,UA,1632,N441UA,199.0,201.0,171.0,5.0,7.0,DEN,MCO,1545,6.0,22.0,0,N,0,,,,,
255920,2008,1,26,6,1050.0,1020,1549.0,1541,UA,1632,N458UA,179.0,201.0,154.0,8.0,30.0,DEN,MCO,1545,4.0,21.0,0,N,0,,,,,
255927,2008,1,8,2,1415.0,1340,1705.0,1652,UA,1638,N484UA,110.0,132.0,93.0,13.0,35.0,RNO,DEN,804,6.0,11.0,0,N,0,,,,,
255928,2008,1,9,3,1411.0,1340,1740.0,1652,UA,1638,N475UA,149.0,132.0,118.0,48.0,31.0,RNO,DEN,804,13.0,18.0,0,N,0,0.0,0.0,17.0,0.0,31.0
255929,2008,1,10,4,1439.0,1340,1736.0,1652,UA,1638,N473UA,117.0,132.0,100.0,44.0,59.0,RNO,DEN,804,7.0,10.0,0,N,0,0.0,0.0,0.0,0.0,44.0
255932,2008,1,13,7,1356.0,1350,1701.0,1702,UA,1638,N481UA,125.0,132.0,112.0,-1.0,6.0,RNO,DEN,804,4.0,9.0,0,N,0,,,,,
255940,2008,1,21,1,1523.0,1340,1849.0,1652,UA,1638,N482UA,146.0,132.0,106.0,117.0,103.0,RNO,DEN,804,8.0,32.0,0,N,0,53.0,0.0,14.0,0.0,50.0
255941,2008,1,22,2,1354.0,1340,1655.0,1652,UA,1638,N492UA,121.0,132.0,100.0,3.0,14.0,RNO,DEN,804,8.0,13.0,0,N,0,,,,,
255944,2008,1,25,5,1359.0,1340,1704.0,1652,UA,1638,N493UA,125.0,132.0,106.0,12.0,19.0,RNO,DEN,804,4.0,15.0,0,N,0,,,,,
255945,2008,1,26,6,1409.0,1340,1721.0,1652,UA,1638,N457UA,132.0,132.0,102.0,29.0,29.0,RNO,DEN,804,19.0,11.0,0,N,0,0.0,0.0,0.0,0.0,29.0
255950,2008,1,31,4,1354.0,1340,1651.0,1652,UA,1638,N480UA,117.0,132.0,97.0,-1.0,14.0,RNO,DEN,804,7.0,13.0,0,N,0,,,,,
255953,2008,1,13,7,1610.0,1149,2124.0,1710,UA,1640,N446UA,194.0,201.0,175.0,254.0,261.0,DEN,MCO,1545,7.0,12.0,0,N,0,61.0,0.0,0.0,0.0,193.0
255962,2008,1,3,4,1446.0,1340,1752.0,1646,UA,1640,N496UA,126.0,126.0,103.0,66.0,66.0,RNO,DEN,804,5.0,18.0,0,N,0,0.0,17.0,0.0,0.0,49.0
255964,2008,1,5,6,1638.0,1340,1935.0,1646,UA,1640,N476UA,117.0,126.0,101.0,169.0,178.0,RNO,DEN,804,4.0,12.0,0,N,0,0.0,161.0,0.0,0.0,8.0
255965,2008,1,6,7,1620.0,1340,1907.0,1646,UA,1640,N467UA,107.0,126.0,95.0,141.0,160.0,RNO,DEN,804,4.0,8.0,0,N,0,0.0,0.0,0.0,0.0,141.0
255970,2008,1,26,6,606.0,600,837.0,809,UA,1641,N465UA,271.0,249.0,252.0,28.0,6.0,MCO,DEN,1545,4.0,15.0,0,N,0,6.0,0.0,22.0,0.0,0.0
255972,2008,1,11,5,1954.0,1945,2056.0,2058,UA,1642,N487UA,62.0,73.0,43.0,-2.0,9.0,LAX,LAS,236,4.0,15.0,0,N,0,,,,,
255973,2008,1,13,7,2011.0,1945,2122.0,2058,UA,1642,N485UA,71.0,73.0,44.0,24.0,26.0,LAX,LAS,236,11.0,16.0,0,N,0,24.0,0.0,0.0,0.0,0.0
255975,2008,1,20,7,2003.0,1945,2104.0,2058,UA,1642,N483UA,61.0,73.0,43.0,6.0,18.0,LAX,LAS,236,4.0,14.0,0,N,0,,,,,
255983,2008,1,11,5,1904.0,1816,2141.0,2104,UA,1646,N489UA,97.0,108.0,84.0,37.0,48.0,LAS,DEN,629,5.0,8.0,0,N,0,0.0,0.0,0.0,0.0,37.0
255985,2008,1,18,5,2010.0,1816,2305.0,2104,UA,1646,N480UA,115.0,108.0,89.0,121.0,114.0,LAS,DEN,629,16.0,10.0,0,N,0,0.0,0.0,7.0,0.0,114.0
255986,2008,1,20,7,1903.0,1810,2146.0,2058,UA,1646,N407UA,103.0,108.0,80.0,48.0,53.0,LAS,DEN,629,5.0,18.0,0,N,0,0.0,0.0,0.0,0.0,48.0
255987,2008,1,25,5,1827.0,1816,2113.0,2104,UA,1646,N476UA,106.0,108.0,81.0,9.0,11.0,LAS,DEN,629,5.0,20.0,0,N,0,,,,,
255988,2008,1,27,7,2047.0,1810,2318.0,2058,UA,1646,N402UA,91.0,108.0,71.0,140.0,157.0,LAS,DEN,629,6.0,14.0,0,N,0,0.0,0.0,0.0,0.0,140.0
255990,2008,1,13,7,1918.0,1835,2014.0,1928,UA,1647,N438UA,116.0,113.0,90.0,46.0,43.0,DEN,LAS,629,12.0,14.0,0,N,0,11.0,0.0,3.0,0.0,32.0
255991,2008,1,18,5,1846.0,1835,1935.0,1928,UA,1647,N488UA,109.0,113.0,86.0,7.0,11.0,DEN,LAS,629,5.0,18.0,0,N,0,,,,,
255994,2008,1,27,7,2203.0,1835,2325.0,1928,UA,1647,N491UA,142.0,113.0,122.0,237.0,208.0,DEN,LAS,629,7.0,13.0,0,N,0,94.0,0.0,29.0,0.0,114.0
255998,2008,1,5,6,654.0,645,902.0,842,UA,1651,N449UA,248.0,237.0,216.0,20.0,9.0,ORD,LAS,1515,6.0,26.0,0,N,0,0.0,9.0,11.0,0.0,0.0
256003,2008,1,13,7,1837.0,1730,2023.0,1940,UA,1656,N476UA,106.0,130.0,90.0,43.0,67.0,MCO,IAD,758,3.0,13.0,0,N,0,0.0,0.0,0.0,0.0,43.0
256006,2008,1,6,7,2120.0,1912,2342.0,2116,UA,1656,N492UA,262.0,244.0,223.0,146.0,128.0,ORD,LAS,1515,12.0,27.0,0,N,0,31.0,0.0,18.0,0.0,97.0
256008,2008,1,18,5,1824.0,1812,2035.0,2021,UA,1657,N492UA,251.0,249.0,225.0,14.0,12.0,MCO,DEN,1545,12.0,14.0,0,N,0,,,,,
256009,2008,1,25,5,1946.0,1812,2159.0,2021,UA,1657,N439UA,253.0,249.0,235.0,98.0,94.0,MCO,DEN,1545,6.0,12.0,0,N,0,0.0,0.0,9.0,0.0,89.0
256010,2008,1,11,5,2147.0,2105,115.0,38,UA,1658,N459UA,148.0,153.0,131.0,37.0,42.0,ORD,MCO,1005,3.0,14.0,0,N,0,15.0,0.0,0.0,0.0,22.0
256012,2008,1,18,5,2118.0,2105,102.0,38,UA,1658,N453UA,164.0,153.0,143.0,24.0,13.0,ORD,MCO,1005,4.0,17.0,0,N,0,10.0,0.0,11.0,0.0,3.0
256014,2008,1,25,5,2146.0,2105,107.0,38,UA,1658,N460UA,141.0,153.0,118.0,29.0,41.0,ORD,MCO,1005,4.0,19.0,0,N,0,29.0,0.0,0.0,0.0,0.0
256018,2008,1,18,5,2018.0,2000,2214.0,2158,UA,1659,N460UA,176.0,178.0,147.0,16.0,18.0,MCO,ORD,1005,12.0,17.0,0,N,0,0.0,0.0,0.0,0.0,16.0
256020,2008,1,25,5,2221.0,2000,25.0,2158,UA,1659,N470UA,184.0,178.0,160.0,147.0,141.0,MCO,ORD,1005,7.0,17.0,0,N,0,0.0,0.0,6.0,0.0,141.0
256021,2008,1,27,7,2104.0,2000,2316.0,2158,UA,1659,N473UA,192.0,178.0,168.0,78.0,64.0,MCO,ORD,1005,3.0,21.0,0,N,0,0.0,0.0,19.0,0.0,59.0
256022,2008,1,1,2,840.0,810,1117.0,1115,UA,1664,N408UA,217.0,245.0,197.0,2.0,30.0,SJU,IAD,1571,5.0,15.0,0,N,0,,,,,
256023,2008,1,2,3,909.0,810,1156.0,1115,UA,1664,N401UA,227.0,245.0,209.0,41.0,59.0,SJU,IAD,1571,4.0,14.0,0,N,0,41.0,0.0,0.0,0.0,0.0
256029,2008,1,1,2,1817.0,1757,2314.0,2247,UA,1665,N401UA,237.0,230.0,210.0,27.0,20.0,IAD,SJU,1571,6.0,21.0,0,N,0,20.0,0.0,7.0,0.0,0.0
256030,2008,1,2,3,1832.0,1757,2325.0,2247,UA,1665,N407UA,233.0,230.0,213.0,38.0,35.0,IAD,SJU,1571,6.0,14.0,0,N,0,35.0,0.0,3.0,0.0,0.0
256032,2008,1,4,5,1810.0,1757,2254.0,2247,UA,1665,N402UA,224.0,230.0,206.0,7.0,13.0,IAD,SJU,1571,5.0,13.0,0,N,0,,,,,
256034,2008,1,6,7,1825.0,1757,2308.0,2247,UA,1665,N472UA,223.0,230.0,197.0,21.0,28.0,IAD,SJU,1571,14.0,12.0,0,N,0,19.0,0.0,0.0,0.0,2.0
256035,2008,1,1,2,828.0,730,1119.0,1050,UA,1674,N473UA,291.0,320.0,271.0,29.0,58.0,SJU,ORD,2072,5.0,15.0,0,N,0,29.0,0.0,0.0,0.0,0.0
256047,2008,1,3,4,821.0,800,1451.0,1450,UA,1675,N476UA,270.0,290.0,246.0,1.0,21.0,ORD,SJU,2072,5.0,19.0,0,N,0,,,,,
256048,2008,1,4,5,821.0,800,1504.0,1450,UA,1675,N478UA,283.0,290.0,258.0,14.0,21.0,ORD,SJU,2072,10.0,15.0,0,N,0,,,,,
256054,2008,1,10,4,936.0,805,1606.0,1444,UA,1675,N482UA,270.0,279.0,252.0,82.0,91.0,ORD,SJU,2072,5.0,13.0,0,N,0,82.0,0.0,0.0,0.0,0.0
256055,2008,1,11,5,1007.0,805,1650.0,1444,UA,1675,N459UA,283.0,279.0,257.0,126.0,122.0,ORD,SJU,2072,5.0,21.0,0,N,0,122.0,0.0,4.0,0.0,0.0
256060,2008,1,16,3,824.0,805,1516.0,1444,UA,1675,N485UA,292.0,279.0,265.0,32.0,19.0,ORD,SJU,2072,11.0,16.0,0,N,0,19.0,0.0,13.0,0.0,0.0
256063,2008,1,19,6,824.0,805,1518.0,1444,UA,1675,N460UA,294.0,279.0,272.0,34.0,19.0,ORD,SJU,2072,9.0,13.0,0,N,0,0.0,19.0,15.0,0.0,0.0
256069,2008,1,25,5,814.0,805,1450.0,1444,UA,1675,N497UA,276.0,279.0,245.0,6.0,9.0,ORD,SJU,2072,8.0,23.0,0,N,0,,,,,
256070,2008,1,26,6,1000.0,805,1621.0,1444,UA,1675,N470UA,261.0,279.0,233.0,97.0,115.0,ORD,SJU,2072,8.0,20.0,0,N,0,97.0,0.0,0.0,0.0,0.0
